FT,FullK,diffKD,OB,OS,vol,s15,s30,s60,ToD,Inertias,percBB,spreadRSI,ADX,RSI,Wpercent,acc,CLASS
1727154000000,100,1.2821,1,0,69,0.14,0.62,0.78,60,102.2603,141.2169,5.9909,20.0855,74.3548,-0,0.87,_4up
1727154300000,100,1.2821,1,0,97,0.25,0.62,0.88,65,135.1106,135.1381,2.0181,22.4652,76.1709,-0,0.86,_4up
1727154600000,100,0,1,0,12,0.45,0.53,0.9,70,90.0292,144.1445,4.0385,25.3744,80.028,-0,0.83,_1dn
1727154900000,99.1667,-0.5556,1,0,1,0.21,0.41,0.97,75,7.7753,125.2776,1.0239,28.0412,79.3276,-1.0204,0.48,_1dn
1727155200000,99.1667,-0.2778,1,0,3,0.12,0.44,0.89,80,23.1166,113.1885,16.0435,27.838,79.3276,-1.0309,0.23,_2dnR
1727155500000,80,-12.7778,1,0,2,-0.23,0.21,0.66,85,18.5844,73.6521,-1.3916,27.6518,63.9969,-24.7423,0.05,_4up
1727156400000,84.8214,-3.1746,1,0,100,0.09,0.05,0.73,100,794.9577,78.1415,-1.0732,27.8718,66.1678,-17.5258,-0.19,_4up
1727156700000,91.0714,5.7738,1,0,50,0.14,0.03,0.72,105,508.6363,86.5959,-0.7961,28.4473,68.2558,-12.1951,0.01,_3upR
1727157000000,100,8.0357,1,0,18,0.2,0.04,0.56,110,176.8426,113.0656,0.2951,29.6016,71.7839,-0,-0.31,_2dnR
1727157300000,100,2.9762,1,0,300,0.14,0.3,0.46,115,1084.5793,108.1143,-0.4257,30.7058,72.0446,-0,-0.35,_2dnR
1727157600000,100,0,1,0,302,0.06,0.3,0.51,120,669.1978,106.2923,2.881,31.2401,72.5971,-0,-0.41,_3upR
1727158200000,92.233,-5.178,1,0,195,-0.06,0.15,0.43,130,345.6384,74.2673,3.4648,31.485,66.8336,-15.6863,-0.23,_4up
1727158500000,98.0583,1.2945,1,0,2,0.01,0.14,0.26,135,3.9451,94.774,0.6856,31.7095,68.8566,-6.25,-0.41,_4up
1727159100000,100,3.2362,1,0,3,0.07,0.07,0.2,145,6.256,102.0517,4.0682,31.9153,69.8593,-0,-0.6,_4up
1727159400000,100,0.6472,1,0,183,0.13,0.13,0.18,150,317.7198,135.0214,8.191,32.7738,73.0184,-0,-0.58,_4up
1727159700000,100,0,1,0,13,0.22,0.2,0.49,155,31.8573,137.9503,4.2514,33.917,74.7506,-0,-0.3,_4up
1727160000000,100,0,1,0,220,0.29,0.29,0.53,160,611.0767,136.8409,5.6072,35.2982,76.4032,-0,-0.18,_4up
1727160300000,100,0,1,0,1448,0.31,0.44,0.65,165,1326.0815,164.2428,6.6977,37.4105,80.7547,-0,0.29,_4up
1727160600000,100,0,1,0,503,0.36,0.56,0.67,170,363.4148,156.4569,4.2236,39.6612,82.4291,-0,0.42,_4up
1727160900000,86.5385,-8.9744,1,0,655,0.35,0.64,0.64,175,371.2093,146.2397,4.9672,42.3058,83.637,-17.5,0.47,_3upR
